date,product_id,sales
2023-01-01,101,22
2023-01-02,101,21
2023-01-03,101,22
2023-01-04,101,22
2023-01-05,101,17
2023-01-06,101,19
2023-01-07,101,25
2023-01-08,101,23
2023-01-09,101,19
2023-01-10,101,26
2023-01-11,101,25
2023-01-12,101,25
2023-01-13,101,22
2023-01-14,101,21
2023-01-15,101,23
2023-01-16,101,21
2023-01-17,101,22
2023-01-18,101,23
2023-01-19,101,21
2023-01-20,101,25
2023-01-21,101,21
2023-01-22,101,26
2023-01-23,101,22
2023-01-24,101,22
2023-01-25,101,22
2023-01-26,101,29
2023-01-27,101,29
2023-01-28,101,23
2023-01-29,101,26
2023-01-30,101,27
2023-01-31,101,33
2023-02-01,101,31
2023-02-02,101,25
2023-02-03,101,31
2023-02-04,101,26
2023-02-05,101,28
2023-02-06,101,27
2023-02-07,101,30
2023-02-08,101,32
2023-02-09,101,31
2023-02-10,101,29
2023-02-11,101,32
2023-02-12,101,35
2023-02-13,101,33
2023-02-14,101,31
2023-02-15,101,30
2023-02-16,101,30
2023-02-17,101,37
2023-02-18,101,31
2023-02-19,101,37
2023-02-20,101,38
2023-02-21,101,30
2023-02-22,101,31
2023-02-23,101,31
2023-02-24,101,36
2023-02-25,101,37
2023-02-26,101,35
2023-02-27,101,32
2023-02-28,101,36
2023-03-01,101,35
2023-03-02,101,36
2023-03-03,101,35
2023-03-04,101,36
2023-03-05,101,33
2023-03-06,101,42
2023-03-07,101,43
2023-03-08,101,36
2023-03-09,101,44
2023-03-10,101,35
2023-03-11,101,36
2023-03-12,101,37
2023-03-13,101,37
2023-03-14,101,42
2023-03-15,101,38
2023-03-16,101,38
2023-03-17,101,38
2023-03-18,101,37
2023-03-19,101,42
2023-03-20,101,43
2023-03-21,101,44
2023-03-22,101,45
2023-03-23,101,43
2023-03-24,101,47
2023-03-25,101,40
2023-03-26,101,46
2023-03-27,101,47
2023-03-28,101,47
2023-03-29,101,48
2023-03-30,101,47
2023-03-31,101,50
2023-04-01,101,46
2023-04-02,101,48
2023-04-03,101,51
2023-04-04,101,42
2023-04-05,101,43
2023-04-06,101,47
2023-04-07,101,48
2023-04-08,101,45
2023-04-09,101,47
2023-04-10,101,44
